batchtime,activetime,imsi,c360_subscription_identifier,msisdn,mcc,mnc,visitcc,visitndc,execution_id,partition_date
13-11-2020 07:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 09:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 16:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 06:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 08:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 00:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 01:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 04:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 05:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 14:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 13:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 10:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 11:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 15:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
13-11-2020 02:00,12-11-2020 17:44,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,12,null,13-11-2020
01-11-2020 02:00,01-11-2020 02:54,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,01-11-2020
01-11-2020 15:00,01-11-2020 15:26,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,01-11-2020
01-11-2020 10:00,01-11-2020 10:01,UIf3JMuOsFis7Jvz463CYLnIyTXQjTD.d4rRiXG+R8dBXjKRfKKLZ6Hz.HpcWpOI,null,null,null,null,60,19,null,01-11-2020
16-11-2020 05:00,15-11-2020 18:06,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,16-11-2020
16-11-2020 05:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,16-11-2020
16-11-2020 06:00,15-11-2020 18:06,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,16-11-2020
16-11-2020 06:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,16-11-2020
16-11-2020 11:00,16-11-2020 09:10,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,16-11-2020
16-11-2020 11:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,16-11-2020
16-11-2020 14:00,16-11-2020 09:10,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,16-11-2020
16-11-2020 14:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,16-11-2020
16-11-2020 15:00,16-11-2020 15:19,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,81,90542,null,16-11-2020
16-11-2020 15:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,16-11-2020
16-11-2020 04:00,15-11-2020 18:06,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,16-11-2020
16-11-2020 04:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,16-11-2020
16-11-2020 10:00,16-11-2020 09:10,GYtV8iRgft8vQw7pXsmISLNoFrrrqYYGAGjupathVvzMV79xvqBZ9xoMK1Q0eHvX,null,null,null,null,1,40547,null,16-11-2020
16-11-2020 10:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,16-11-2020
16-11-2020 08:00,10-11-2020 17:29,TQairz4v344kq.Qe2eIAljjjg12lYfc3WK43dp.PwV0wiS.wQrelB0eZHJ.PHUzR,null,null,null,null,62,811,null,16-11-2020
