month_id,access_method_num,imei,imsi,imsi_sim2fly,subscription_identifier,start_of_month
2020-11,NULL,NULL,#NAME?,#NAME?,NULL,202011
2020-11,NULL,NULL,#NAME?,#NAME?,NULL,202011
2020-11,NULL,NULL,#NAME?,.7YTshabKsVS4Qb117CkpG46+z9bp0vGOKzUmmcNuAGqnGXaaMgkm0Jtn6k0qqlg,NULL,202011
2020-11,NULL,NULL,+.a0g.T.Xz8+TLlElnPphBRe28o121mcdmO6gIp8tE2nH+dbS0vxWagcpWfSetoI,.ejh7yTVOv7cmn5FKESsudocLss8fEYjioEV2iTjUywFCsuouvAuUUWy28OF.+Ld,NULL,202011
2020-11,NULL,NULL,+0G1u+hbjzZ+UlHK3xZft3kHFVUi08HPwT0n0nQ5E6PjzT3L.x7WUjNdl2bTkfue,00ANLN+IIEtlXGcgiwZJzRfP8eThqrq+ks+OyVdul0byCVYE3luuMnXrcBk2RpJL,NULL,202011
2020-11,NULL,NULL,+0LpAa8rki3Z5f.XZFKugNuLbowKj+nDkpoSLFDEtBJPjspI6tnNYDQzOuh4+zZS,00Pn+ZCNad3NkXU3.QG5PCawAqgVDffi1QeVlZmweecOc34ihd7zOGsDaOuqLZcV,NULL,202011
2020-11,NULL,NULL,+0ZFJsb0q2jJYa8w+ojUlQBJnBjGn7y0EWL4ZqtCHTsB4h5toQb9BohWxZm3qOHq,0vg54a3ODZL3YLDW24KLponoRb2baBQBZJWTSRqu35zP9podSZkyjgT4juPeAmBs,NULL,202011
2020-11,NULL,NULL,+0eBDKim81SE9Nl6422AxFK7deGGdBExfPYs6gIHNfkDExolBEgyfRjLir4SIGHS,1Qd0FR+lIVofUtiL.6ImhEVhn3defQN3jC0LMaazwoeGp+mBkTzz6PcFqp4.6vph,NULL,202011
2020-11,NULL,NULL,+1I3cmeJ6.K+4EDOY8sCJMrNZVk1Qagwfm1pwgC73VMuPKS7HytLwJbMXHELlCLK,1chvxy74sJ8hhebGhTFGIp1frU3ILa3.GGlmUCQvntUISFM5IViwbkbjWpixjszX,NULL,202011
2020-11,NULL,NULL,+1SeGtDGsM6b0MbDFa8NS26tjq27ENBu5pRmLGRCH1XXuASYmTCkp2oBZycFQ8pL,2.v5fg8aandUIGjyIVbu4gqoFv3.qYgECShX4CeXI0QZSmRrVIgHgCWB8rzGwk8y,NULL,202011
2020-11,NULL,NULL,+1atJeIwiu.rxTcsJQd83e2XmD7o+PSlvULzAyz84X9xJakEyJCU7VKX+BDibP0C,2Oh.mEbnI0XOlBhY59ScpkLWedafwG8pevTaLcyQ1aam16U8WhiHhC24bo6IOXv8,NULL,202011
2020-11,NULL,NULL,+1lo2xX14xr4nSrNExgN.dBg+2x1NXx1DyIYz41isEcEvqn9gxCfuWuqtBmQrXmv,2QbNwfdOMceK6RaSPcVOdpAyJUQMbF87y.4EkG43lAyQMj1yDgE1g5AtPN7RVWXo,NULL,202011
2020-11,NULL,NULL,#NAME?,2g5ekC5wIMWrHVZmga89M1Si5M75ko.O0VcEMmk+o1mKXUKMY.iau40nEtkycX.k,NULL,202011
2020-11,NULL,NULL,+25S1nes9QAphXyzGGhAr.PFYxR6t1O6onig38RIKEfxXlB7SjivEI5+WSNv0zdE,38WcTQ2e2Toa00XB8Ofy4ZzgEcSCNcPzYA7OG1WO.t1pl3A.LEhrTgCzItk5bwmq,NULL,202011
2020-11,NULL,NULL,+2Eub5ReM2sRyMbJp8jbrTmCWrlHA32goka7MOLV.KZ5.wsTj8fO7k6d6npZiq7M,3Af3vsZJ43.VSR8aJjN+AdhEE6shwEzvPcNApLTf+c7iAoG02pfE1Y+pFwGnlqKJ,NULL,202011
2020-11,NULL,NULL,+2NewvBwsk5FDnNfzJnrtlMvmgr.H03uG.QMVvjcVTqnxU5VUIqdB0khIDCx5XVd,3F4Tx920RUHKc63aZUA7RkCppqn8QAl7Ba6GEAFAm2lQnrd2ZsctXUwugc4TyXCh,NULL,202011
2020-11,NULL,NULL,+2jrBvB500LOnwpu7TBgejUh5fZCF76gAxAwRajkS4eMBKuT78FGoqGmX209M7zu,3IG7mLVqSxHyedX4tg+e9J32uwTpbb030E3J3fICrJ6ARLqKuSuW+GZQ0e7BXIh6,NULL,202011
2020-11,NULL,NULL,+2q88Srs6LL4rleJojAMdCU.7J1id2NjbjhQ5KnoZdcqgossYOJCAgy51t897v9D,3WZ+zoXko9W+Hj.NgdyxIv6yAvz9CAcf7Oa1vmfxhyMgt3t5hUfCUFtvbfPGnU0o,NULL,202011
2020-11,NULL,NULL,+2zaquaa7md6wD9jfakMlJ4KGlI8ZUbI3pNsHk8c1XmnFzT8aa3OjACgiCeKNcbF,3ae.EMUnwQ7bAGte1YoLAqjEKBNhQaLW4oufnmgCMP01F4ksaWpp0Z.CD3XvyyUF,NULL,202011
2020-11,NULL,NULL,+3NMFeKgVwAxc3E35i1.KKoDNEwcYAcD+LxgrpBGOwCzV72oRnAkZweloHL4Snum,41Wdo0JUuQc9QU74rFovZplpnY.JBUdHepkcDlLxoqWlo.iZrVS.78oPd1HzRmPk,NULL,202011
2020-11,NULL,NULL,+3lBjAsM+XtoBxkTlOl.24Pl1N+yNkouQH7l2uFxOXAWpmjzAcHhGpFaq8eba+x7,42+IhDez0qM7aaRlrFkUHq+JlFbIfaaQIijynMVACl0i01j.dqK8kaqzFYW2zhtD,NULL,202011
2020-11,NULL,NULL,+4yx9gBCIkPxF0r1DvAbbqOZP+ZgzVtHuvUMaj8pCgwoaN12Z8GoCVOFNyFPqXuf,4ZL.nrXLkkdGuQlufPLRHoG.MBcvdjnuo4LBK4xLAqG0rPFsyra4hesiLm92Ru4S,NULL,202011
2020-11,NULL,NULL,+5WSlqdIHEyWP.H+V3Uuv.65ou5q80AqJ8LpNUS.6f6T23C4uDzntT5ngN+F3GZE,4aNk9X1TErJmN55Qr7QiK63zQdGcHIsdvc0o2IvXWk9j4urO.EoJVQDCT8rNKswe,NULL,202011
2020-11,NULL,NULL,+5eIz4ZskR.2e67IiDewLo24nY6x.b3uoqqSBNYB+8Ts5DSilkViVvBwED7ggvax,4tR41pAIwX+t1pvMqzlM2jRNmwcEtFushjEueOBKB2RjwJMuncazpr5JB6rR4EBJ,NULL,202011
2020-11,NULL,NULL,+5o5t.jtcskP2Nf9nA5F.tYCSQY1mkjvdNVIBuBMv6YvgDvP6sHtE5SEMJ+KXjsh,6ppCUPuvUeTtlO+mkN63iCtTmSLZzJyPndmc5LndCnnA+KYRaE8iaeTc4AohJXs0,NULL,202011
2020-11,NULL,NULL,+5yN6S73OgiEAuzH1E4kiBbQjLVZQYmcYnqkkBqWlbd4xPXN+bK2uS8nB0UY1gb9,7+h0G1ETZiBwL+QXbXnOYyTZIqhaW6.FdatYjTypGlQuFAgC0OovzAHTrFv29o00,NULL,202011
2020-11,NULL,NULL,+68jN7m9+pCLW+WRTPja26vlKS.wLbyuYgnJx5UPk2.qM8u2Y1mYDQRyfhyq1jtf,7LMWOY.USP9BDQCWAsigjELQAhqjGdWSApoZWdSXdCvmA+qg8O.YeLN9bMoM96wE,NULL,202011
2020-11,NULL,NULL,+6v+nBOvF2B++Td+Hny9LW4j6ggr0RxS5vNX3YKKkQCwBPL9.JdWVZ6Sotpc6vhA,7w5rvJSF6O6b.hAvZWONIac3rRWtG4F9JpGWtCo1JH4lcz2PpOIbcb1ruYYRLmsr,NULL,202011
2020-11,NULL,NULL,+7a19XsFkiRFzcWqZB.tp+6w+xQvVaWNXtIseBUa+mRcg1EdEwA2kjKwJmzQGsvJ,9HVGtoHfx2zGZo3Ot5UCyNbn4jzwYcaVirDNcLN5P07eAJ.tMqaHrM.st4uMibwm,NULL,202011
2020-11,NULL,NULL,+7w.AEcpcvfxMQS.srw2vXso3MSynix6e+IR9vgxT6+vIszo+eHzc.qFj8wvD.np,AWRfkKFAQJpqgoN5J2YjfNC.2cbfCj8WAWhqlxXkjUeTl+X7+hoJ+Xhqsi9G.ki+,NULL,202011
2020-11,NULL,NULL,+80bMkU.YIs7BleRVr0Xn3ND08Zp1DYQeC5E+926Yf2mD.dKNNVAxKRwvvNm7J8d,BX6bkFpLx33Fn21+hRAWiDKvqiVEIBfyJBIBD2wFO.XOsFdzWg4svz.PFrflowpX,NULL,202011
2020-11,NULL,NULL,+896CNSvZUy1fyy45FYgzLXLBreQwVODa2TtjsN6QH31GqPFQDanCGY64U3ljYmu,BoUnnFgrgrF6Svosw79S6WR2b9q4CgUWffAx5ZldW6pEVNsyhve9mDGREqHrgVAn,NULL,202011
2020-11,NULL,NULL,+8CEhgmJ7Iqp4PTP65D.mYBlstwb7H.wo5GHCamfCZ8+MzUwSl9tjigv4QIeYh0S,C4mEhVNyFV3n0Rbs3HRsNAXPTNcLENJhgmAJJvwKVWtfacTQZ9NLlK6LdVl7nUBp,NULL,202011
2020-11,NULL,NULL,+8XuhoK23yKV4IuqH+oydxOhbaj7l475jIqrMGR4fPJnnTHOCo7TZWFZQrV2J4fI,Ci0LQJ5WRL+sORXlNtB50pnrIYt4y4gJMHpTlvcQ8AfNSepg.TPdZvjl1oT0sm8K,NULL,202011
2020-11,NULL,NULL,+9H.XBBO0T4kYd1T0I+W3jJmoustU3KZ.I4vHTQ333hNyaOR7DPahwCiwVCZoOLh,DjRZi4BaQ1elZG8ZoE4U8x9mOa0Pz.5a0weTCcya9cWbQnuOPw11v+Y+v5zv+V35,NULL,202011
2020-11,NULL,NULL,+9Hb4rk5G4dmR7pWGzN7oAH3T3GNFnTrnfcuTT1bsFYjf7ag5mKVKbnG+eFSSfld,EP0+6v3ujwPqguiJ6oKJNrCUr7SW3SUBo6lS5UF9NkgVJsw9pyBroA4LyATflIMv,NULL,202011
2020-11,NULL,NULL,+9I+gJeI8rBgxqL5puHr.zEum3qGoIazDyIZdFXWuvsmxARGLFy0Htw.fBrnyMjZ,Ea1jsQgPf9xFWb.09fKmG4XDpih.PYNI3UXxEuP3QlhjOMjYUfZa7SdHjNYi7uPZ,NULL,202011
2020-11,NULL,NULL,+9PVxcfJmsUpWzXDC.pa2PG.oL+2KalvvKoJaAjgKjvTJ3JkyKIqQuf1qyCPkdYh,Eh2BUGY.i4Oc1bKA+4mu73l6VVt2ZXnoy4I+Wzm43iI0M+V.WbNB3dHXY88oRZmw,NULL,202011
2020-11,NULL,NULL,+9QHENimCv1SsunMJreb4RR.XEKrAP9TTgWtb8U1m78PLCtf9wnb6U6Jqndoo.iQ,GD6b1oNK8djBYp5K91Wg05TMlhhR6J6t9MMUMp30.Th29GdWSv7C7VD8T5c0r2Pd,NULL,202011
2020-11,NULL,NULL,+9mkRIAp5zEvQ9tRZc0AqouJ4rD78cagMfv8VmontJHc4VDruLUNetpmALQBXvBs,Gn7xcq6mHaqhK1EccKZkC67tPKg4Sxv.00elfZ4aVdukSYYIkfO4t4QO19iMMRDm,NULL,202011
2020-11,NULL,NULL,#NAME?,GutqYmH8P9YVWyuHVhP1FB.i+XlRfvAZgp1KCOPxHMsHnjAipvRxemLZgrHbRNG.,NULL,202011
2020-11,NULL,NULL,#NAME?,HN8XnIYyG.KqWfuv8jlKhNrSSPbLBHJzCqw.6j8U48wuMtcz4R8InzC8iIOY0YgF,NULL,202011
