cc,ndc,operator_name,plmn_name,country_name,data_date,execution_id,ld_year,ld_month,ld_day
1,939404403,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,8686880035,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868688002,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,86868800,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868688000,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880034,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880033,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880032,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868688003,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8686880030,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8684609508,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8684609507,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8684609506,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8684609505,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8684609504,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8684609503,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8684609502,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,868460950,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,8684609500,TELECOMMUNICATION SERVICES OF TRINIDAD AND TOBAGO,TTO12,TRINIDAD and TOBAGO,NULL,NULL,2021,3,1
1,93940440,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,649247,CABLE AND WIRELESS WEST INDIES TURKS AND CAICOS,TCAK9,TURKS AND CAICOS ISLANDS,NULL,NULL,2021,3,1
1,939404402,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,939404404,CLARO PUERTO RICO,PRICL,PUERTO RICO,NULL,NULL,2021,3,1
1,82999,COMPANIA DOMINICANA DE TELEFONOS S. A.,DOMCL,DOMINICAN ,NULL,NULL,2021,3,1
1,264235,CABLE AND WIRELESS FLOW ANGUILLA,AIAK9,ANGUILLA,NULL,NULL,2021,3,1
1,829202,COMPANIA DOMINICANA DE TELEFONOS S. A.,DOMCL,DOMINICAN ,NULL,NULL,2021,3,1
1,473409,CABLE AND WIRELESS FLOW GRENADA,GRDK9,GRENADA,NULL,NULL,2021,3,1
1,246253,CABLE AND WIRELESS FLOW BARBADOS,BRBK9,BARBADOS,NULL,NULL,2021,3,1
1,345990,CABLE AND WIRELESS FLOW ANGUILLA,AIAK9,ANGUILLA,NULL,NULL,2021,3,1
